product_id;name;category;descripcion;palabras_clave;precio;rating_promedio;descuento_aplicado;stock_actual
1;Sesión de Terapia Online;Bienestar Mental;Consulta con expertos en bienestar mental desde la comodidad de tu hogar.;Mindfulness, Relajación, Terapia;65.59;3.0;0;30
2;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Rendimiento, Deporte, Fitness;124.27;2.5;30;426
3;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Relajación, Terapia, Mindfulness;98.49;5.0;20;385
4;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Deporte, Fitness, Rendimiento;99.61;3.0;30;329
5;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Mascotas, Juguetes, Cuidado;49.39;2.5;25;444
6;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Suplementos, Dieta, Alimentación;77.91;5.0;5;142
7;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Fitness, Rendimiento, Deporte;148.78;5.0;25;321
8;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Mindfulness, Terapia, Relajación;57.73;4.0;5;57
9;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Salud, Ejercicio;57.78;3.0;10;215
10;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Terapia, Relajación, Mindfulness;26.32;4.5;15;238
11;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Juguetes, Mascotas, Cuidado;41.09;2.5;30;443
12;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Deporte, Rendimiento, Fitness;63.6;4.5;25;288
13;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Salud, Ejercicio, Bienestar;88.74;4.5;15;226
14;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Mindfulness, Relajación, Terapia;113.21;3.5;0;189
15;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Mindfulness, Relajación, Terapia;103.97;4.5;5;446
16;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Deporte, Fitness, Rendimiento;80.62;2.5;0;411
17;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Relajación, Mindfulness, Terapia;108.03;3.0;0;495
18;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Salud, Bienestar, Ejercicio;100.69;4.0;5;91
19;Rutina de Ejercicios Personalizada;Deportes;Planes de ejercicios adaptados a tus objetivos de salud y condición física.;Rendimiento, Deporte, Fitness;154.47;4.5;0;18
20;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Mindfulness, Terapia, Relajación;42.52;3.0;5;89
21;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Terapia, Relajación, Mindfulness;51.76;4.5;10;331
22;Plan de Alimentación Saludable;Nutrición;Menús equilibrados diseñados por nutricionistas para mejorar tu salud.;Suplementos, Dieta, Alimentación;66.99;4.5;30;329
23;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Ejercicio, Bienestar, Salud;73.82;3.0;25;369
24;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Bienestar, Ejercicio, Salud;73.17;3.5;15;202
25;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Fitness, Rendimiento, Deporte;94.26;5.0;30;420
26;Ropa Deportiva;Deportes;Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.;Rendimiento, Deporte, Fitness;173.56;3.0;25;294
27;Monitor de Ritmo Cardíaco;Salud;Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.;Bienestar, Salud, Ejercicio;58.41;4.5;20;78
28;Spa y Masajes;Salud;Tratamientos relajantes para reducir el estrés y mejorar la circulación.;Bienestar, Salud, Ejercicio;126.79;2.5;0;338
29;Accesorios para Entrenamiento;Deportes;Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.;Rendimiento, Fitness, Deporte;49.12;5.0;30;7
30;Entrenamiento en Casa;Deportes;Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.;Fitness, Deporte, Rendimiento;129.27;3.0;20;365
31;Entrenador Personal Virtual;Bienestar Mental;Accede a planes de entrenamiento personalizados con asesoría profesional.;Mindfulness, Relajación, Terapia;96.12;3.0;15;258
32;Clases de Yoga Online;Salud;Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.;Bienestar, Ejercicio, Salud;145.34;3.5;25;353
33;Curso de Mindfulness;Bienestar Mental;Desarrolla hábitos de atención plena para mejorar tu bienestar mental.;Relajación, Terapia, Mindfulness;100.85;5.0;10;473
34;Reloj Inteligente para Fitness;Deportes;Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.;Rendimiento, Deporte, Fitness;134.87;2.5;25;73
35;Juguetes para Mascotas;Mascotas;Diversión asegurada para tu mascota con juguetes interactivos y seguros.;Mascotas, Juguetes, Cuidado;37.87;4.5;25;223
36;Curso de Meditación;Bienestar Mental;Aprende técnicas de mindfulness y relajación para reducir la ansiedad.;Mindfulness, Relajación, Terapia;116.99;4.5;25;144
